Date,Avg. Heart Rate(bpm),Min. Heart Rate(bpm),Max. Heart Rate(bpm),Avg. Spo2(%),Min. Spo2(%),Max. Spo2(%),Avg. HRV(ms),Min. HRV(ms),Max. HRV(ms)
2026-04-03,86,56,131,95%,84%,98%,34,11,96
2026-04-04,86,59,124,96%,88%,100%,29,11,108
2026-04-05,88,66,147,94%,85%,98%,29,11,80
2026-04-06,85,60,113,96%,92%,100%,31,11,73
2026-04-07,88,67,141,95%,90%,98%,29,11,104
2026-04-08,82,61,137,95%,90%,98%,31,12,102
2026-04-09,88,69,146,95%,90%,98%,27,11,77
2026-04-10,88,66,134,94%,91%,98%,25,11,63
2026-04-11,87,68,133,94%,83%,97%,25,11,63
2026-04-12,86,62,120,95%,89%,99%,25,11,64
2026-04-13,84,69,122,93%,87%,99%,24,11,84
2026-04-14,88,58,140,95%,90%,99%,27,11,79
2026-04-15,84,63,125,95%,88%,99%,29,11,99
2026-04-16,86,65,134,96%,92%,98%,26,11,70
2026-04-17,86,61,142,95%,90%,98%,30,11,75
2026-04-18,84,64,136,94%,89%,98%,29,11,86
2026-04-19,81,64,121,94%,84%,100%,31,11,80
2026-04-20,86,64,136,95%,91%,98%,24,11,91
2026-04-21,87,66,128,95%,91%,98%,27,11,82
2026-04-22,81,65,114,95%,91%,98%,34,12,100
2026-04-23,87,64,133,96%,91%,100%,28,11,71
2026-04-24,87,65,128,95%,88%,99%,26,11,67
2026-04-25,88,64,147,95%,91%,97%,27,12,76
2026-04-26,81,65,114,94%,87%,97%,29,11,74
2026-04-27,82,64,107,95%,91%,99%,27,11,96
2026-04-28,89,61,141,94%,89%,97%,27,11,78
2026-04-29,85,62,130,95%,92%,98%,29,11,74
2026-04-30,89,63,134,95%,90%,100%,26,11,64
2026-05-01,85,64,140,95%,89%,98%,28,11,125
2026-05-02,84,64,128,95%,90%,98%,29,12,79
2026-05-03,85,63,120,95%,91%,99%,27,11,75
